domain,length,maximum,mean
4fcyB02,64,1.4879496941032297,0.8877508609357937
3clqA03,69,1.5676873639771587,0.6947015756494177
2rcnA03,74,1.569172762183928,0.8448796850065449
2ztdA02,67,1.3725632086531412,0.7486423875882604
1m6yA02,104,1.757652635407116,0.8448559200861733
2fmlA01,34,0.8564916043197933,0.5142505544937538
3bhqA00,210,1.983910595949715,0.7826642785569778
1g3nC02,112,1.7985402167278515,0.802187822112934
107lA00,163,1.780345220877207,0.837170966193862
1mz4A00,136,1.4869407499360865,0.6904561911743158
1qhdA02,227,2.012716798112384,0.8027459361476654
3mg3A01,146,1.5200057129375726,0.7028823753499549
1ik9B02,94,1.741605098894643,0.9724292865713821
3gf3A01,59,1.6796943524385417,1.0970618206201468
1eysL01,170,1.2744352445307243,0.5827177098802172
4bvxB02,106,1.4995145326821016,0.7186635625837645
1xqrA00,275,1.8111686237281193,0.8982553630351474
3utmB01,174,1.4824839875612763,0.5907862968803528
1ug3A02,133,1.8973964275543445,0.8023476134591147
1goiA02,89,1.1408004330859014,0.5823875373770331
1edqA03,75,1.0378509527269917,0.682941477368978
1hupA00,140,1.32408997951106,0.556168655175076
2essA01,148,1.823427167194779,0.6659205910309879
1vkbA00,160,1.8426868053144143,0.6917509066677047
3qyqA00,292,1.6703464411716238,0.725298156920461
4jkmA03,323,1.6826231445224855,0.756982963828045
3dx5A00,285,1.7488521570135973,0.7985294258531134
1t6mA00,298,2.0737059584258066,0.770289557829219
2qcuA02,160,1.362466811195619,0.6243070114140764
3c4nA02,124,1.6581823761509216,0.8090107498211747
1k8bA00,51,2.1776728491361634,1.1862279321516955
4i7dA01,61,1.207334498416894,0.5577071500415042
3i5aA02,180,2.04995525465794,0.7892053560324817
2j8aA01,93,1.734170464939042,0.6564221769799655
4lirA01,72,1.4005640477677894,0.6897761080471667
1rzmA01,79,1.737918459459309,0.9364685421372162
3pqvA02,95,2.1160541297998297,1.0183684935951105
1kvbA00,154,1.5042958713884276,0.6503341498365562
1j9aA00,183,1.9520363238925784,0.8715139104420858
1d8yA01,216,1.5732272218734642,0.711864613951334
3weeB01,173,1.253519413957603,0.5962067915528522
3lm2A01,98,1.2674534186145865,0.5110338071050544
2id1A01,104,1.833992782480365,0.9060909350096056
2p4pA00,85,1.4524850058221779,0.6992056633995745
1dv2A02,285,1.6218643769905152,0.7290074216492719
3d2uE01,188,1.3475246670466203,0.635207779090632
2luzA00,191,1.2923109910859056,0.6434157950697338
2ka5A01,109,1.75635653688903,0.8936373450662237
2o01D01,94,1.7181908466057323,0.6815732051945155
1p1hB01,191,1.5116902760396242,0.7339956722509972
3kkzA00,266,1.6896792288550389,0.7439837040307208
2gh1A01,191,1.703230933717708,0.7570346017536921
1pswA01,150,1.4044380681262112,0.7098419203570139
2w42B01,171,1.7177367299376456,0.8858826339681044
3tlgA01,163,1.7066349795160611,0.6658150074162913
3ep1A00,175,1.645456987473674,0.6665092382542646
2v84A02,157,1.2156650777752962,0.6293306434314683
3jruA01,162,1.5494702145157537,0.7043128325811648
1njrA00,283,1.7055208723037565,0.7849911981164462
1cjwA00,165,1.5837737983964222,0.6454704855330174
3s6gA01,288,1.629712795196378,0.8011604740915531
4dokA01,154,1.484717721510744,0.6496815956691449
1vzyA01,233,1.7930079352395645,0.6897045023448577
4ad9A01,204,2.247223006828375,0.9396309606587525
1ajqB01,301,1.545215029739674,0.5999055868814519
1x51A01,142,1.9052279031591506,0.784474805467873
3nmeA01,202,1.7337944674844121,0.7186107545353351
